Name,Weight Class,Height:,Weight:,Reach:,Age,Wins,Losses,Draws
Terrance McKinney,Featherweight,5.92,145,74,25,7,1,0
Garreth McLellan,Middleweight,6.08,185,72,37,13,6,0
Sara McMann,Women's Bantamweight,5.5,135,66,39,11,5,0
James McSweeney,Light Heavyweight,6.33,230,77,39,6,9,0
Tim Means,Welterweight,6.17,170,75,35,28,11,1
Yancy Medeiros,Welterweight,5.83,155,75,32,15,6,0
Alton Meeks,Heavyweight,6.42,265,75,25,3,1,0
Gerald Meerschaert,Middleweight,6.08,185,77,31,29,12,0
Jordan Mein,Welterweight,6.0,170,73,30,31,12,0
Brian Melancon,Welterweight,5.67,170,72,37,7,3,0
Gilbert Melendez,Lightweight,5.75,145,73,37,22,8,0
Vanessa Melo,Women's Bantamweight,5.42,135,65,31,9,6,0
Antonio Mendes,Light Heavyweight,6.25,205,77,38,17,10,0
Chad Mendes,Featherweight,5.5,145,66,34,18,5,0
Augusto Mendes,Bantamweight,5.5,135,65,36,6,2,0
Eddie Mendez,Middleweight,5.83,185,76,35,7,2,1
Pietro Menga,Flyweight,5.58,125,68,31,13,0,0
Alonzo Menifield,Light Heavyweight,6.0,205,76,32,9,0,0
Ivan Menjivar,Bantamweight,5.5,145,64,37,25,12,0
Joe Merritt,Welterweight,6.0,170,73,35,6,1,0
Jonathan Meunier,Welterweight,6.25,170,75,32,8,1,0
Yaotzin Meza,Bantamweight,5.75,145,74,38,21,11,0
David Michaud,Lightweight,5.75,155,72,30,8,2,0
Zachary Micklewright,Lightweight,6.0,155,74,43,11,3,0
Bojan Mihajlovic,Light Heavyweight,5.92,205,73,39,10,6,0
Curtis Millender,Welterweight,6.17,170,76,31,17,5,0
Jason Miller,Middleweight,6.08,185,72,38,34,10,0
Dan Miller,Middleweight,6.08,185,74,38,14,8,0
Jim Miller,Lightweight,5.67,155,71,36,31,13,0
Cole Miller,Featherweight,6.08,145,74,35,21,11,0
Che Mills,Welterweight,6.08,170,76,37,15,5,0
Adam Milstead,Light Heavyweight,6.25,205,76,32,8,3,0
Alberto Mina,Welterweight,6.0,170,77,37,13,1,0
Darrick Minner,Featherweight,5.58,145,70,29,22,9,0
Stipe Miocic,Heavyweight,6.33,240,80,37,19,3,0
Frank Mir,Heavyweight,6.25,264,79,40,18,11,0
Mario Miranda,Middleweight,6.25,185,74,40,12,3,0
Vitor Miranda,Middleweight,6.08,185,77,40,13,7,0
David Mitchell,Welterweight,6.0,170,76,40,12,4,0
Danny Mitchell,Welterweight,6.17,170,74,33,14,6,1
Matt Mitrione,Heavyweight,6.25,265,79,41,9,5,0
