Name,Height:,Weight:,Reach:,Age,SLpM:,Str. Acc.:,SApM:,Str. Def:,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,Win Percentage,Total Fights
shamil abdurakhimov,6.25,235,76,38,2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2,0.8,25
daichi abe,5.92,170,71,27,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,0.75,8
papy abedi,5.92,185,74,41,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,0.75,12
ricardo abreu,5.92,185,73,35,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,0.62,8
klidson abreu,6.0,205,74,26,1.97,0.39,1.93,0.59,0.5,0.12,0.75,0.0,0.83,18
juan adams,6.42,265,80,27,7.32,0.55,4.0,0.34,0.97,0.66,0.57,0.0,0.71,7
anthony adams,6.0,185,77,31,3.4,0.47,5.6,0.44,0.0,0.0,0.0,0.0,0.88,8
israel adesanya,6.33,185,80,30,4.46,0.5,2.6,0.66,0.0,0.0,0.85,0.4,1.0,18
jessica aguilar,5.25,115,63,37,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,0.71,28
kevin aguilar,5.58,145,73,31,3.78,0.36,4.22,0.54,0.25,0.5,0.86,0.0,0.89,19
omari akhmedov,6.0,185,73,32,2.91,0.34,2.69,0.59,2.45,0.5,0.58,0.2,0.79,24
yoshihiro akiyama,5.83,170,73,44,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,0.7,20
rostem akman,5.83,170,72,27,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0,0.75,8
mostapha al-turk,6.17,245,77,46,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,0.5,12
herdem alacabek,6.17,205,75,28,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,0.83,6
heili alateng,5.42,135,66,27,2.4,0.4,5.67,0.63,3.0,0.42,1.0,0.0,0.62,21
john albert,5.67,135,68,33,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,0.58,12
junior albini,6.25,264,74,28,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,0.7,20
alexandra albu,5.17,115,63,29,5.13,0.5,4.92,0.41,3.05,0.55,0.75,0.6,0.88,8
iuri alcantara,5.75,135,71,39,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,0.78,45
ildemar alcantara,6.17,185,78,36,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,0.72,29
irene aldana,5.75,135,68,31,6.2,0.39,6.01,0.62,0.29,0.5,0.93,0.1,0.69,16
hector aldana,5.92,170,72,31,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,0.5,8
jose aldo,5.58,145,70,33,3.45,0.44,3.14,0.65,0.67,0.65,0.92,0.2,0.85,33
jj aldrich,5.42,125,67,27,3.88,0.4,4.11,0.61,0.36,0.25,0.53,0.0,0.73,11
jim alers,5.75,145,71,33,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,0.81,16
john alessio,5.83,155,72,40,1.87,0.35,2.46,0.57,1.78,0.36,0.72,1.0,0.68,50
houston alexander,6.0,205,72,47,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,0.59,22
marcio alexandre junior,6.0,185,75,30,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,0.81,21
bill algeo,6.0,145,73,30,9.8,0.53,7.47,0.36,0.0,0.0,0.62,0.0,0.8,15
sultan aliev,5.92,170,74,35,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0,0.83,18
john allan,6.25,205,75,26,3.59,0.48,4.39,0.51,2.54,0.66,0.57,1.9,0.72,18
arnold allen,5.67,145,70,25,3.01,0.39,1.78,0.66,1.6,0.56,0.7,0.5,0.94,16
brendan allen,6.17,185,75,23,2.0,0.53,3.58,0.31,3.74,0.42,0.66,6.2,0.81,16
benny alloway,5.92,170,75,38,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,0.68,19
ricardo almeida,6.0,170,74,42,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,0.72,18
thomas almeida,5.58,135,70,28,5.66,0.45,4.65,0.64,0.0,0.0,0.75,0.0,0.88,25
ericka almeida,5.5,115,68,30,1.07,0.39,3.33,0.43,0.5,0.33,0.37,0.0,0.78,9
eddie alvarez,5.75,155,69,35,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,0.83,35
jaime alvarez,5.67,125,69,31,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,0.86,7
joel alvarez,6.25,155,77,25,2.55,0.33,3.44,0.54,0.0,0.0,0.0,0.0,0.89,18
thiago alves,5.75,170,70,36,3.72,0.41,3.37,0.62,0.71,0.6,0.62,0.3,0.67,42
warlley alves,5.92,170,72,28,3.16,0.46,3.75,0.51,1.06,0.44,0.8,0.8,0.82,17
sam alvey,6.17,205,75,33,3.05,0.44,3.2,0.55,0.09,0.16,0.82,0.1,0.72,46
adlan amagov,6.17,170,76,32,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,0.81,16
alen amedovski,5.83,185,74,31,0.52,0.28,3.14,0.37,0.0,0.0,0.0,0.0,0.8,10
makwan amirkhani,5.83,145,72,30,1.62,0.47,1.62,0.61,3.47,0.48,0.57,1.6,0.83,18
eryk anders,6.08,205,75,32,3.06,0.45,4.15,0.52,1.51,0.4,0.76,0.1,0.76,17
corey anderson,6.25,205,79,30,4.37,0.46,2.2,0.59,4.96,0.5,0.83,0.0,0.76,17
megan anderson,6.0,145,72,29,1.8,0.46,3.17,0.34,0.64,0.5,0.5,0.6,0.71,14
jessica andrade,5.08,115,62,28,6.55,0.51,5.28,0.51,3.21,0.58,0.76,0.5,0.74,27
viscardi andrade,5.92,170,75,35,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,0.73,26
dylan andrews,6.08,185,73,39,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,0.69,26
magomed ankalaev,6.25,205,75,27,3.05,0.53,1.33,0.67,0.45,0.33,0.83,0.0,0.92,12
nina ansaroff,5.42,115,64,33,4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6,0.62,16
gadzhimurad antigulov,5.92,205,70,32,2.32,0.51,5.92,0.21,8.7,0.41,0.0,3.5,0.77,26
adam antolin,5.42,125,63,37,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0,0.8,15
zu anyanwu,6.08,251,77,38,2.47,0.42,2.47,0.69,0.65,1.0,0.0,0.0,0.74,19
shinsho anzai,5.58,170,70,33,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0,0.77,13
josh appelt,5.83,255,73,36,1.35,0.4,11.5,0.32,0.0,0.0,0.33,0.0,0.71,21
felipe arantes,5.67,135,73,31,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7,0.62,29
igor araujo,6.08,170,77,38,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,0.76,33
viviane araujo,5.33,125,68,32,4.96,0.48,4.42,0.58,2.91,1.0,1.0,0.0,0.89,9
julio arce,5.58,145,70,29,4.76,0.38,2.68,0.69,0.48,0.28,0.93,0.7,0.84,19
andrei arlovski,6.25,240,77,40,3.54,0.44,2.68,0.59,0.53,0.36,0.79,0.3,0.61,46
austin arnett,6.0,145,72,28,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2,0.73,22
akbarh arreola,5.83,155,71,36,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4,0.68,34
matt arroyo,5.83,170,72,37,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3,0.5,6
antonio arroyo,6.25,185,73,30,3.87,0.72,2.13,0.41,2.55,0.36,0.0,0.6,0.8,10
cesar arzamendia,5.92,155,71,28,5.37,0.45,5.2,0.56,7.32,0.75,0.0,2.4,0.64,11
teddy ash,6.08,185,73,29,7.27,0.61,6.8,0.28,0.0,0.0,1.0,0.0,0.78,18
askar askarov,5.5,125,67,27,2.0,0.47,2.27,0.58,4.0,0.36,0.0,0.0,0.91,11
cyril asker,6.0,247,74,33,3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9,0.69,13
scott askham,6.25,185,75,31,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7,0.78,18
ben askren,5.92,170,73,35,0.0,0.0,8.49,0.09,4.39,0.5,0.0,4.4,0.95,20
junior assuncao,5.75,145,72,38,3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7,0.76,17
raphael assuncao,5.42,135,66,37,3.32,0.41,2.35,0.68,1.54,0.38,0.8,0.3,0.79,34
rich attonito,5.83,170,72,42,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0,0.67,15
olivier aubin-mercier,5.75,155,70,30,2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5,0.71,17
marcus aurelio,5.83,155,74,46,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3,0.68,31
blas avena,6.0,170,74,36,2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8,0.54,13
chris avila,5.83,145,72,26,2.37,0.3,4.17,0.48,0.0,0.0,0.46,0.0,0.56,9
julia avila,5.58,135,68,31,3.27,0.4,2.2,0.6,0.0,0.0,0.5,0.0,0.88,8
jessin ayari,6.0,155,73,27,3.58,0.38,3.4,0.59,0.0,0.0,0.33,0.3,0.76,21
abu azaitar,5.75,185,76,33,3.2,0.37,1.27,0.57,1.0,1.0,0.25,0.0,0.88,16
ottman azaitar,5.67,155,71,29,7.61,0.5,2.25,0.57,0.0,0.0,1.0,0.0,1.0,12
hunter azure,5.67,135,69,27,4.0,0.5,1.57,0.56,2.0,0.33,0.75,2.5,1.0,8
niklas backstrom,6.08,145,74,30,1.12,0.41,3.65,0.4,2.92,0.8,0.72,2.2,0.8,10
seth baczynski,6.25,170,74,37,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,0.62,29
ryan bader,6.17,205,74,36,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,0.82,28
miguel baeza,6.17,170,74,27,4.26,0.58,4.3,0.44,0.67,0.33,1.0,1.3,1.0,8
ali bagautinov,5.33,125,65,34,2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3,0.74,19
mehdi baghdad,6.08,155,75,34,3.13,0.3,4.56,0.46,0.0,0.0,0.33,0.0,0.73,15
siyar bahadurzada,5.92,170,73,35,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3,0.73,33
shamar bailey,5.75,155,75,37,1.56,0.2,3.91,0.69,1.5,0.33,0.37,0.0,0.71,17
oluwale bamgbose,5.92,185,78,32,2.45,0.48,2.7,0.55,0.94,0.33,0.37,0.0,0.6,10
marcin bandel,5.83,155,70,30,0.79,0.5,5.26,0.23,0.0,0.0,0.0,0.0,0.76,17
humberto bandenay,5.92,145,71,25,2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5,0.67,21
tae hyun bang,5.75,155,71,36,2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5,0.64,28
antonio banuelos,5.42,135,63,40,2.71,0.33,3.3,0.58,1.38,0.58,0.85,0.4,0.7,27
renan barao,5.5,135,70,32,3.78,0.36,3.83,0.58,1.46,0.45,0.91,0.6,0.82,44
maycee barber,5.42,125,65,21,8.32,0.61,4.02,0.48,1.39,0.3,1.0,0.0,1.0,8
bryan barberena,6.0,170,72,30,5.65,0.48,5.0,0.44,0.26,0.33,0.47,0.3,0.67,21
edson barboza,5.92,155,75,33,4.01,0.43,4.16,0.6,0.49,0.44,0.8,0.1,0.71,28
raoni barcelos,5.58,135,67,32,5.77,0.53,4.85,0.63,2.46,0.71,0.75,1.0,0.93,15
luke barnatt,6.5,185,77,31,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4,0.73,11
josh barnett,6.25,250,78,41,3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4,0.81,43
phil baroni,5.75,170,72,43,2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5,0.48,29
peter barrett,5.83,155,73,33,7.27,0.72,5.0,0.33,4.0,0.25,0.0,0.0,0.8,10
marc-andre barriault,6.08,185,74,29,3.6,0.52,3.73,0.57,0.5,0.25,0.8,0.0,0.79,14
francimar barroso,6.08,205,75,39,2.77,0.52,3.07,0.59,2.22,0.24,0.83,0.0,0.73,26
pat barry,5.92,235,74,40,2.72,0.52,3.54,0.59,0.0,0.0,0.76,0.2,0.53,15
enrique barzola,5.58,145,70,30,3.77,0.41,2.93,0.69,5.0,0.47,0.8,0.2,0.77,22
shayna baszler,5.58,135,67,39,2.49,0.3,6.36,0.51,0.67,0.18,0.44,1.3,0.6,25
danaa batgerel,5.58,135,70,30,5.67,0.36,2.4,0.59,0.0,0.0,0.57,0.0,0.75,8
mario bautista,5.75,135,69,26,7.45,0.49,6.05,0.55,0.81,0.33,0.57,0.0,0.88,8
chris beal,5.58,125,69,34,3.45,0.35,3.18,0.61,1.6,0.58,0.78,0.2,0.77,13
ariel beck,5.5,125,66,29,4.44,0.34,4.31,0.64,0.0,0.0,0.0,0.0,0.44,9
johnny bedford,5.83,135,71,36,4.53,0.5,1.75,0.63,1.83,0.62,0.62,0.0,0.58,33
chase beebe,5.58,135,67,34,2.17,0.38,1.64,0.69,2.49,0.42,0.41,0.9,0.68,28
mirsad bektic,5.67,145,70,28,2.88,0.42,1.7,0.6,3.38,0.53,1.0,0.4,0.87,15
diana belbita,5.58,125,68,23,6.53,0.38,7.53,0.52,1.0,1.0,0.64,0.0,0.72,18
alan belcher,6.17,185,73,35,2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9,0.71,24
vitor belfort,6.0,185,74,42,1.59,0.46,2.83,0.5,1.02,0.6,0.53,0.6,0.65,40
danilo belluardo,6.0,155,74,25,1.52,0.61,4.79,0.41,3.5,1.0,0.5,0.0,0.71,17
joey beltran,6.08,185,75,37,4.92,0.36,5.27,0.54,0.48,0.18,0.75,0.0,0.62,24
marco beltran,5.67,125,69,33,2.07,0.37,1.93,0.63,0.7,0.5,0.46,0.2,0.53,15
joseph benavidez,5.33,125,65,35,3.46,0.33,2.52,0.63,1.53,0.31,0.65,0.6,0.85,33
gabriel benitez,5.67,145,71,31,4.32,0.41,2.93,0.71,0.21,1.0,0.56,1.5,0.72,29
deanna bennett,5.33,125,68,34,3.13,0.58,3.27,0.58,0.0,0.0,0.0,1.0,0.67,12
lance benoist,5.92,170,73,31,3.68,0.51,2.7,0.56,1.5,0.33,0.61,0.0,0.78,9
ryan benoit,5.42,125,68,30,2.38,0.36,3.2,0.59,0.24,0.2,0.62,0.2,0.67,15
kenneth bergh,6.17,205,76,30,4.56,0.75,1.27,0.28,0.0,0.0,0.0,0.0,1.0,6
keith berish,6.0,205,73,33,3.58,0.36,4.81,0.62,1.76,0.4,0.0,0.0,0.83,6
dennis bermudez,5.5,155,66,32,4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1,0.67,27
manny bermudez,5.83,145,71,25,2.92,0.61,2.68,0.46,3.06,0.54,0.0,3.1,0.88,16
talita bernardo,5.33,135,68,32,3.12,0.42,4.04,0.55,1.62,0.22,0.28,0.5,0.6,10
matt bessette,5.83,145,70,34,4.36,0.41,4.45,0.58,0.64,0.28,0.61,0.3,0.71,31
arjan bhullar,6.08,245,75,33,2.33,0.56,3.25,0.59,1.73,0.75,1.0,0.0,0.9,10
magomed bibulatov,5.42,125,65,31,3.6,0.51,1.83,0.52,2.85,0.4,0.75,0.0,0.88,16
david bielkheden,5.83,155,71,40,1.11,0.57,1.64,0.54,2.65,0.63,0.14,0.0,0.64,25
anthony birchak,5.67,135,69,33,3.98,0.35,2.26,0.66,0.68,0.16,0.83,0.0,0.81,16
chris birchler,6.25,205,79,32,9.35,0.46,14.83,0.35,0.0,0.0,0.0,0.0,0.7,10
michael bisping,6.08,185,75,40,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3,0.78,40
jan blachowicz,6.17,205,78,36,3.54,0.5,3.11,0.53,1.39,0.52,0.6,0.3,0.75,32
brad blackburn,5.83,170,73,42,4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7,0.56,32
maximo blanco,5.67,145,71,36,4.11,0.44,3.19,0.66,1.85,0.36,0.63,0.3,0.57,21
curtis blaydes,6.33,265,80,28,3.69,0.51,1.9,0.55,7.05,0.6,0.25,0.0,0.86,14
byron bloodworth,5.67,135,69,36,1.82,0.28,5.18,0.5,0.0,0.0,0.0,0.0,0.67,9
mark bocek,5.67,155,75,38,2.34,0.43,2.32,0.6,3.65,0.36,0.31,1.3,0.71,17
kyle bochniak,5.58,145,70,32,2.63,0.31,5.11,0.58,1.14,0.15,0.62,0.0,0.62,13
james bochnovic,6.33,205,81,30,0.65,0.26,3.64,0.21,0.0,0.0,0.0,0.0,0.73,11
tim boetsch,6.0,185,74,38,2.93,0.5,2.9,0.57,1.45,0.34,0.59,0.8,0.62,34
galore bofando,5.92,170,72,37,3.63,0.45,3.63,0.54,2.37,1.0,0.5,0.0,0.62,8
stephan bonnar,6.33,205,78,42,2.76,0.38,3.01,0.52,1.32,0.4,0.6,1.0,0.68,25
rogerio bontorin,5.42,125,67,27,3.23,0.52,3.63,0.42,2.72,0.41,0.6,1.6,0.94,17
ray borg,5.33,135,63,26,1.26,0.49,1.8,0.46,3.66,0.5,0.46,1.2,0.75,16
tanner boser,6.17,255,75,28,6.2,0.61,2.13,0.7,0.0,0.0,0.0,0.0,0.74,23
steve bosse,5.92,205,72,38,5.99,0.52,5.38,0.5,0.92,0.33,1.0,0.0,0.86,14
poliana botelho,5.67,115,67,30,3.65,0.58,2.77,0.55,1.27,1.0,0.88,0.0,0.8,10
brian bowles,5.58,135,70,39,2.36,0.26,2.98,0.64,1.39,0.7,0.54,1.4,0.77,13
roger bowling,5.75,155,68,36,3.9,0.47,3.86,0.51,3.09,0.43,0.27,0.9,0.69,16
kyle bradley,5.75,155,71,37,1.99,0.4,3.45,0.58,0.65,0.5,0.4,0.0,0.65,23
sean brady,5.83,170,72,26,7.93,0.56,7.13,0.63,2.0,0.66,1.0,0.0,1.0,11
ramiz brahimaj,5.83,170,73,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,10
david branch,6.08,185,78,38,1.66,0.39,1.91,0.56,2.55,0.32,0.43,0.0,0.79,28
diego brandao,5.58,145,68,32,2.94,0.47,3.38,0.62,3.21,0.68,0.8,0.6,0.69,35
martin bravo,5.67,145,71,26,7.66,0.39,5.72,0.51,2.6,0.35,0.85,0.0,0.8,15
tom breese,6.25,185,73,28,3.85,0.49,2.57,0.65,0.0,0.0,0.72,0.3,0.92,12
charlie brenneman,5.83,155,72,38,1.52,0.56,1.55,0.46,4.23,0.42,0.72,0.0,0.7,27
marcos brigagao,6.25,205,76,23,3.07,0.43,3.27,0.25,0.0,0.0,0.36,0.0,0.92,12
jason brilz,5.92,205,71,44,2.66,0.4,1.78,0.65,2.37,0.25,0.25,1.3,0.75,24
marcus brimage,5.33,135,71,34,3.97,0.35,3.64,0.56,0.56,1.0,0.8,0.0,0.58,12
henry briones,5.67,135,69,39,3.47,0.42,4.68,0.53,0.0,0.0,0.52,0.6,0.68,28
antwain britt,6.08,205,77,41,1.46,0.39,2.81,0.44,1.56,0.4,0.5,0.0,0.69,16
jonathan brookins,6.0,145,73,34,2.69,0.39,3.63,0.56,1.94,0.17,0.8,0.3,0.7,20
will brooks,5.83,155,72,33,4.26,0.59,2.54,0.56,2.08,0.51,0.82,0.3,0.82,22
cm punk,6.08,170,73,40,1.1,0.23,4.87,0.4,0.87,0.11,0.0,0.0,0.0,2
jarred brooks,5.25,125,62,26,2.12,0.46,1.66,0.62,4.54,0.57,0.69,0.6,0.88,16
rob broughton,6.17,265,74,36,2.83,0.6,2.54,0.51,0.0,0.0,0.26,3.2,0.65,23
matt brown,6.0,170,75,38,3.78,0.53,2.64,0.56,1.57,0.46,0.63,1.6,0.59,39
mike brown,5.5,145,70,44,2.98,0.44,2.45,0.6,3.23,0.4,0.66,0.6,0.74,35
randy brown,6.25,170,78,29,3.48,0.47,2.56,0.55,0.85,0.41,0.77,0.5,0.79,14
damien brown,5.83,155,68,34,3.66,0.38,4.86,0.5,0.68,0.27,0.53,0.7,0.59,29
tj brown,5.75,145,72,29,3.31,0.47,1.31,0.46,5.78,0.71,0.6,1.2,0.68,19
humberto brown,5.83,145,71,34,1.71,0.5,2.19,0.62,1.43,0.25,0.0,0.0,0.44,9
travis browne,6.5,255,79,37,2.93,0.41,4.31,0.42,1.21,0.68,0.75,0.2,0.69,26
fernando bruno,5.5,145,70,37,1.75,0.39,1.78,0.48,2.02,0.22,0.56,0.5,0.8,20
derek brunson,6.08,185,77,35,3.39,0.45,2.91,0.54,2.8,0.29,1.0,0.5,0.74,27
dennis bryant,6.0,205,72,34,10.56,0.59,10.56,0.13,0.0,0.0,0.0,0.0,0.83,6
justin buchholz,6.0,155,73,36,2.35,0.26,4.14,0.51,0.0,0.0,0.33,0.8,0.67,18
julia budd,5.58,145,67,36,2.42,0.74,1.18,0.47,3.6,0.57,0.83,0.0,0.75,4
mike budnik,5.75,145,68,45,0.65,0.52,0.95,0.53,0.0,0.0,0.0,3.4,0.73,15
paul buentello,6.17,245,77,45,3.29,0.45,3.83,0.52,0.19,0.33,0.39,0.4,0.67,43
wuliji buren,5.75,135,69,30,1.63,0.42,2.96,0.56,3.38,0.42,0.71,0.4,0.59,17
shane burgos,5.92,145,75,28,7.06,0.47,6.14,0.62,0.43,1.0,0.94,0.2,0.92,13
joshua burkman,5.83,170,72,39,2.69,0.43,3.13,0.51,2.53,0.36,0.72,0.3,0.63,46
mads burnell,5.67,145,69,25,1.28,0.41,2.71,0.51,3.45,0.47,0.22,0.4,0.75,12
kevin burns,5.83,170,74,39,2.74,0.38,4.3,0.52,0.28,0.5,0.47,0.8,0.64,14
gilbert burns,5.83,155,71,33,3.09,0.43,3.05,0.57,2.43,0.38,0.5,0.7,0.85,20
herbert burns,5.75,145,74,31,2.01,0.45,6.85,0.45,0.0,0.0,1.0,6.0,0.8,10
nah-shon burrell,5.92,170,73,29,4.83,0.47,3.45,0.56,0.0,0.0,0.52,0.3,0.75,12
martin buschkamp,5.75,145,70,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
bubba bush,6.0,185,73,34,0.63,0.55,7.01,0.25,2.82,0.5,0.6,0.0,0.73,11
jp buys,5.5,125,66,23,2.01,0.42,3.35,0.46,4.02,0.5,0.0,0.0,0.8,5
charles byrd,5.83,185,73,36,3.86,0.57,2.1,0.58,2.52,0.5,0.57,1.9,0.62,16
yan cabral,5.92,155,73,36,2.02,0.47,1.98,0.62,2.89,0.35,0.37,1.2,0.8,15
alex caceres,5.83,145,73,31,3.98,0.48,2.86,0.64,0.53,0.75,0.58,0.8,0.56,27
priscila cachoeira,5.58,125,65,31,3.7,0.36,7.94,0.42,0.0,0.0,0.69,0.0,0.73,11
joanne calderwood,5.5,125,65,33,6.19,0.47,4.31,0.53,1.85,0.56,0.55,0.5,0.78,18
cynthia calvillo,5.33,115,64,32,3.87,0.39,3.5,0.64,1.57,0.36,0.69,2.0,0.89,9
frank camacho,5.83,170,73,30,6.85,0.46,7.16,0.52,1.22,0.45,0.78,0.0,0.76,29
fabricio camoes,5.83,155,73,40,1.29,0.33,1.85,0.61,2.34,0.32,0.2,1.5,0.58,24
chris camozzi,6.17,185,76,32,3.57,0.44,2.96,0.56,0.27,0.19,0.57,0.5,0.65,37
brian camozzi,6.17,170,78,28,3.15,0.26,6.39,0.54,0.0,0.0,0.0,0.7,0.58,12
shane campbell,6.0,155,71,32,3.99,0.59,3.19,0.55,1.36,0.28,0.82,0.0,0.67,18
will campuzano,5.75,125,70,33,2.43,0.31,3.82,0.57,0.88,0.45,0.48,0.2,0.68,19
aleksa camur,6.08,205,75,24,7.59,0.66,1.21,0.68,0.0,0.0,0.0,0.0,1.0,4
chico camus,5.5,125,66,34,2.58,0.41,2.46,0.64,0.77,0.4,0.72,0.4,0.67,21
carlos candelario,5.67,125,67,28,3.87,0.47,1.67,0.57,0.0,0.0,0.46,0.0,1.0,6
luiz cane,6.17,185,77,38,4.79,0.41,5.0,0.6,0.56,0.28,1.0,0.3,0.71,17
guido cannetti,5.5,135,68,39,2.8,0.52,1.95,0.51,2.8,0.5,0.75,0.3,0.62,13
jared cannonier,5.92,185,77,35,3.72,0.51,2.82,0.66,0.18,0.33,0.51,0.0,0.76,17
steve cantwell,6.17,185,75,32,3.63,0.34,5.76,0.55,0.65,0.3,0.8,0.7,0.54,13
phil caracappa,5.67,135,70,27,2.93,0.5,4.07,0.29,1.0,0.08,1.0,1.0,0.89,9
bryan caraway,5.67,135,68,35,2.53,0.34,3.61,0.54,2.57,0.25,0.8,0.8,0.68,31
chris cariaso,5.25,125,63,38,3.35,0.43,2.23,0.61,1.11,0.39,0.57,0.8,0.68,25
antonio carlos junior,6.17,185,79,29,1.91,0.44,1.98,0.53,3.7,0.44,0.53,0.9,0.73,15
francis carmont,6.25,205,78,38,2.22,0.42,1.64,0.59,1.79,0.36,0.73,0.6,0.7,33
liz carmouche,5.5,125,66,35,2.78,0.54,2.51,0.61,2.57,0.51,0.65,0.3,0.65,20
roan carneiro,5.92,170,74,41,1.46,0.46,1.82,0.62,3.05,0.42,0.83,1.4,0.66,32
renato moicano,5.92,145,72,30,5.53,0.46,3.69,0.66,1.16,0.54,0.76,0.4,0.76,17
ariane carnelossi,5.17,115,61,26,6.03,0.38,7.71,0.5,0.0,0.0,0.0,0.0,0.86,14
luana carolina,5.5,125,69,26,6.53,0.5,3.83,0.48,0.0,0.0,1.0,2.0,0.86,7
cain carrizosa,5.67,155,74,33,2.72,0.42,5.8,0.51,0.0,0.0,0.14,0.0,0.75,8
antonio carvalho,5.75,145,68,40,3.03,0.29,3.62,0.64,0.0,0.0,1.0,0.0,0.71,21
shane carwin,6.17,265,80,44,4.38,0.47,3.53,0.53,1.42,0.33,0.42,0.0,0.86,14
johnny case,5.83,155,72,30,3.95,0.38,2.66,0.61,1.7,0.45,0.72,0.0,0.79,28
kevin casey,5.92,185,77,38,2.27,0.53,3.76,0.46,0.79,0.22,0.27,0.4,0.6,15
cortney casey,5.58,115,67,32,4.8,0.38,4.73,0.53,0.35,0.3,0.38,0.5,0.53,15
john castaneda,5.58,135,70,27,3.2,0.46,1.87,0.71,2.0,0.28,0.66,0.0,0.87,15
danny castillo,5.75,155,71,40,2.57,0.42,1.96,0.62,2.95,0.38,0.63,0.2,0.63,27
nick catone,6.0,185,72,38,2.11,0.44,2.32,0.63,3.71,0.44,0.83,0.5,0.71,14
gesias cavalcante,5.67,155,71,36,1.98,0.35,3.11,0.51,1.25,0.36,0.66,1.1,0.73,22
rafael feijao,6.08,205,73,39,2.71,0.53,3.62,0.49,0.6,0.4,0.63,0.1,0.63,19
magnus cedenblad,6.42,185,79,37,2.38,0.51,3.02,0.4,2.87,0.64,0.66,1.0,0.74,19
yosdenis cedeno,5.67,155,69,34,1.64,0.29,1.6,0.67,0.0,0.0,0.31,0.3,0.62,16
henry cejudo,5.33,135,64,32,3.82,0.44,2.73,0.65,2.16,0.35,0.9,0.2,0.88,17
adam cella,6.17,170,78,34,1.91,0.42,2.61,0.51,3.92,0.75,0.5,1.3,0.67,6
donald cerrone,6.08,155,73,36,4.34,0.46,4.23,0.53,1.21,0.36,0.73,1.3,0.73,49
luan chagas,6.0,170,75,26,4.16,0.47,3.19,0.62,0.32,0.12,0.85,0.3,0.79,19
alex chambers,5.25,115,63,40,2.97,0.54,5.1,0.5,2.31,0.41,0.53,1.0,0.5,10
ernest chavez,5.67,145,70,36,2.79,0.4,3.89,0.59,0.89,0.33,0.5,0.0,0.8,10
