Name,Height:,Weight:,Reach:,Age,SLpM:,Str. Acc.:,SApM:,Str. Def:,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,Win Percentage,Total Fights
jairzinho rozenstruik,6.33,242,78,31,3.8,0.74,2.98,0.35,0.0,0.0,0.66,0.0,1.0,8
mauricio rua,6.08,205,76,37,3.72,0.51,2.65,0.55,2.23,0.48,0.46,0.8,0.7,37
rodolfo rubio,5.42,145,66,32,1.13,0.36,1.0,0.62,2.0,0.33,0.33,0.0,0.57,21
mike russow,6.08,255,73,43,1.55,0.47,2.9,0.59,4.66,0.43,0.0,0.7,0.83,18
amir sadollah,5.83,170,74,39,4.71,0.46,3.55,0.6,0.57,0.27,0.6,0.3,0.58,12
frankie saenz,5.5,135,66,39,3.97,0.46,3.15,0.54,1.77,0.32,0.62,0.1,0.68,19
saparbeg safarov,6.08,205,78,33,4.29,0.48,3.1,0.47,2.8,0.41,1.0,0.0,0.82,11
tarec saffiedine,5.83,170,70,33,4.05,0.47,3.06,0.62,0.52,0.36,0.84,0.1,0.7,23
jason saggo,5.92,155,71,33,2.5,0.39,2.94,0.52,2.33,0.4,0.23,0.0,0.75,16
ovince saint preux,6.25,205,80,36,2.59,0.46,2.86,0.44,1.34,0.4,0.65,0.6,0.65,37
lukasz sajewski,5.67,155,71,28,2.06,0.35,3.88,0.57,1.01,0.25,0.66,0.0,0.81,16
augusto sakai,6.25,265,77,28,5.51,0.46,3.77,0.57,0.24,0.5,0.88,0.0,0.88,16
alessio sakara,6.0,185,72,38,3.96,0.47,2.8,0.59,2.18,0.78,0.62,0.0,0.63,30
gokhan saki,6.0,205,73,36,7.09,0.58,4.57,0.53,0.0,0.0,1.0,0.0,0.33,3
justin salas,5.67,155,70,37,3.42,0.43,2.96,0.68,2.43,0.2,0.0,0.0,0.63,19
roman salazar,5.58,135,67,31,1.95,0.39,2.89,0.57,1.77,0.18,0.5,0.0,0.69,13
muslim salikhov,5.92,170,70,35,2.05,0.45,1.41,0.67,0.0,0.0,0.62,0.0,0.88,17
boston salmon,5.75,135,69,28,4.13,0.37,7.75,0.59,0.0,0.0,1.0,0.0,0.67,9
john salter,6.08,185,74,34,1.68,0.32,1.68,0.68,2.85,0.46,0.66,0.5,0.8,10
josh samman,6.25,185,79,31,2.08,0.52,2.47,0.34,1.09,0.33,0.33,0.4,0.71,17
joshua sampo,5.33,125,64,35,1.99,0.36,2.96,0.55,1.06,0.33,0.4,2.1,0.69,16
diego sanchez,5.83,170,72,37,2.75,0.38,2.91,0.57,1.62,0.25,0.47,0.9,0.72,43
eddie sanchez,6.17,230,74,36,3.45,0.43,3.3,0.43,1.13,0.26,0.42,0.0,0.72,18
joby sanchez,5.5,135,68,28,3.22,0.36,2.82,0.63,0.95,0.71,0.51,0.4,0.73,15
andrew sanchez,6.08,185,74,31,4.49,0.43,4.92,0.5,2.25,0.33,1.0,0.0,0.71,17
roberto sanchez,5.5,125,66,33,0.96,0.4,1.78,0.46,3.61,0.62,0.5,0.7,0.8,10
luke sanders,5.5,135,67,33,6.0,0.51,4.05,0.54,0.37,0.25,0.7,0.4,0.81,16
jerrod sanders,5.67,135,72,40,0.88,0.64,1.14,0.46,2.2,0.33,0.5,1.6,0.83,18
cory sandhagen,5.92,135,70,27,7.14,0.48,4.16,0.58,1.24,0.5,0.27,0.6,0.92,13
hector sandoval,5.17,125,64,33,3.31,0.52,2.33,0.65,3.49,0.25,0.71,1.4,0.78,18
roldan sangcha-an,5.33,125,65,28,2.71,0.46,2.15,0.51,1.94,0.6,0.68,0.0,0.67,6
duda santana,5.58,145,73,23,6.01,0.39,2.72,0.73,6.44,0.6,0.0,0.0,0.75,4
jorge santiago,6.08,170,74,39,1.69,0.35,2.62,0.56,0.58,0.3,0.52,0.8,0.69,36
mike santiago,5.83,145,69,30,3.44,0.49,3.58,0.36,2.66,0.5,0.53,1.1,0.64,33
richie santiago,5.58,135,67,27,3.87,0.49,4.87,0.42,0.0,0.0,0.25,0.0,0.88,8
evangelista santos,5.83,170,76,41,3.94,0.36,6.01,0.49,0.78,1.0,0.5,0.4,0.55,33
iliarde santos,5.42,125,66,39,3.0,0.3,6.1,0.57,1.66,0.23,0.83,0.0,0.73,37
leonardo santos,6.0,155,75,39,2.4,0.41,2.58,0.61,1.1,0.25,0.86,0.4,0.77,22
thiago santos,6.17,205,76,35,4.44,0.47,2.19,0.57,0.83,0.4,0.68,0.1,0.75,28
bruno santos,5.75,185,69,32,1.18,0.46,2.27,0.56,3.0,0.37,0.66,0.3,0.88,16
taila santos,5.42,125,68,26,4.23,0.49,2.53,0.63,1.0,1.0,0.75,1.0,0.94,16
daniel sarafian,5.75,185,73,37,2.23,0.46,3.1,0.58,0.36,0.07,0.53,0.7,0.62,16
ulka sasaki,5.83,125,71,30,2.16,0.41,2.5,0.5,3.03,0.43,0.41,1.2,0.72,29
paul sass,6.0,155,73,31,0.53,0.26,1.9,0.51,0.53,0.16,0.33,7.4,0.87,15
takenori sato,5.83,170,71,34,0.46,0.33,12.92,0.09,0.0,0.0,0.0,0.0,0.5,34
takashi sato,5.83,170,73,29,3.13,0.36,5.22,0.51,0.82,0.5,0.77,0.0,0.83,18
ben saunders,6.17,170,77,36,3.37,0.5,3.61,0.51,0.21,0.4,0.68,1.0,0.61,36
matt sayles,5.58,145,68,25,6.16,0.41,3.38,0.63,0.0,0.0,0.86,0.5,0.8,10
eric schafer,6.25,185,75,42,1.89,0.34,3.38,0.56,1.81,0.36,0.5,1.8,0.61,23
brendan schaub,6.33,245,78,36,2.92,0.37,2.22,0.57,2.32,0.46,0.72,0.4,0.69,16
pat schilling,5.67,145,69,31,1.87,0.26,8.24,0.52,0.0,0.0,0.0,0.0,0.71,7
matt schnell,5.67,125,70,29,3.64,0.34,3.69,0.62,0.7,0.4,0.58,1.8,0.78,18
justin scoggins,5.58,125,66,27,3.56,0.51,2.16,0.55,3.42,0.63,0.82,0.5,0.69,16
bradley scott,6.08,170,76,30,3.52,0.41,4.31,0.57,0.32,0.15,0.63,0.7,0.67,18
neil seery,5.33,125,64,40,3.56,0.41,3.79,0.58,0.78,0.27,0.53,1.6,0.55,29
stefan sekulic,6.0,170,75,27,1.47,0.37,2.4,0.57,1.0,0.2,0.33,0.0,0.8,15
pete sell,5.92,170,75,37,2.6,0.42,3.65,0.51,0.91,0.21,0.47,0.9,0.64,14
mackens semerzier,5.75,145,72,38,2.91,0.45,3.48,0.46,2.14,0.5,0.5,2.1,0.67,12
alex serdyukov,6.17,170,74,39,3.92,0.42,2.53,0.54,1.56,0.6,0.7,2.6,0.62,13
matt serra,5.5,170,68,45,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9,0.61,18
fredy serrano,5.25,125,65,40,1.58,0.26,1.89,0.61,2.84,0.25,0.84,0.0,0.6,5
rosi sexton,5.25,135,63,42,3.31,0.39,7.42,0.41,0.75,0.1,0.8,0.0,0.76,17
edmen shahbazyan,6.17,185,74,21,3.89,0.58,2.29,0.56,7.71,0.4,0.75,0.9,1.0,10
leon shahbazyan,6.33,170,74,23,6.33,0.52,8.18,0.32,1.46,0.5,0.0,0.0,0.88,8
kamal shalorus,5.67,155,68,47,3.06,0.32,2.99,0.7,2.07,0.5,0.8,0.0,0.58,12
ken shamrock,6.08,205,72,55,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5,0.61,46
eric shelton,5.5,125,68,28,2.57,0.42,1.88,0.63,2.83,0.51,0.46,0.2,0.67,18
sean sherk,5.5,155,67,46,2.17,0.35,2.71,0.55,4.09,0.46,0.56,0.4,0.88,41
chase sherman,6.33,250,78,29,5.81,0.43,5.76,0.51,0.0,0.0,0.77,0.0,0.65,17
valentina shevchenko,5.42,125,66,31,3.02,0.49,2.16,0.62,1.94,0.51,0.77,0.4,0.86,21
antonina shevchenko,5.67,125,67,34,4.9,0.57,1.92,0.65,0.67,1.0,0.58,1.0,0.89,9
jake shields,6.0,170,72,40,2.45,0.36,1.8,0.56,2.83,0.29,0.35,1.2,0.78,37
shunichi shimizu,5.42,135,66,34,0.14,0.33,4.68,0.3,0.0,0.0,0.0,0.0,0.6,47
josh shockley,6.08,155,74,29,1.4,0.33,1.75,0.6,0.0,0.0,0.61,0.8,0.73,15
jack shore,5.67,135,71,24,3.58,0.5,0.47,0.83,4.67,0.57,0.0,1.2,1.0,12
ivan shtyrkov,6.0,205,74,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,17
sam sicilia,5.67,145,67,33,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9,0.65,23
steven siler,5.92,145,70,32,3.21,0.41,2.96,0.54,0.47,0.21,0.55,1.6,0.64,36
anderson silva,6.17,185,77,44,3.04,0.62,1.98,0.61,0.52,0.77,0.69,0.8,0.77,44
wanderlei silva,5.92,205,74,43,2.79,0.4,2.19,0.6,0.97,0.53,0.62,0.6,0.73,48
thiago silva,6.17,205,74,36,3.92,0.5,2.55,0.67,1.03,0.47,0.7,0.7,0.84,19
antonio silva,6.33,264,80,40,2.89,0.45,3.09,0.5,0.82,0.29,0.66,0.8,0.63,30
erick silva,6.0,170,74,35,2.5,0.48,4.18,0.49,0.85,0.35,0.56,1.4,0.68,28
leandro silva,5.75,155,72,33,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4,0.79,24
wagner silva,6.0,170,71,32,1.69,0.29,2.87,0.65,0.0,0.0,0.58,0.0,0.5,6
joaquim silva,5.67,155,69,30,3.92,0.37,4.43,0.56,0.24,0.5,0.64,0.7,0.79,14
felipe silva,6.0,155,77,35,5.4,0.5,1.8,0.59,1.0,1.0,0.71,0.0,0.8,10
bruno silva,5.33,135,65,29,1.54,0.4,2.92,0.56,2.31,0.18,1.0,0.0,0.69,16
gabriel silva,5.5,135,71,25,0.53,0.5,1.0,0.34,1.0,0.16,0.33,0.0,0.88,8
douglas silva de andrade,5.58,135,68,34,3.77,0.36,4.54,0.57,0.78,0.5,0.6,0.0,0.89,28
elias silverio,5.92,155,73,33,3.67,0.49,2.97,0.51,1.62,0.38,0.85,0.2,0.85,13
ricky simon,5.5,135,69,27,2.72,0.41,3.24,0.68,6.66,0.52,0.73,0.2,0.88,17
aaron simpson,6.0,170,73,45,3.6,0.52,2.53,0.56,3.78,0.34,0.83,0.5,0.73,15
tony sims,5.92,155,70,34,1.81,0.63,0.76,0.65,0.71,0.5,0.5,0.7,0.75,16
everett sims,6.42,260,77,31,0.81,0.66,2.19,0.3,0.0,0.0,0.42,1.2,0.8,5
rory singer,6.17,185,77,43,2.55,0.39,2.42,0.63,0.39,0.25,0.64,0.8,0.55,20
elvis sinosic,6.25,205,77,48,1.13,0.37,4.6,0.53,0.0,0.0,0.0,1.2,0.35,20
dennis siver,5.5,145,70,40,3.87,0.32,2.67,0.65,0.87,0.32,0.65,0.3,0.68,34
chas skelly,5.92,145,72,34,2.02,0.4,3.35,0.48,1.71,0.34,0.33,2.4,0.82,22
scott smith,6.0,185,70,40,1.86,0.27,5.94,0.5,0.13,0.06,0.58,0.4,0.65,26
trevor smith,6.25,185,75,38,3.34,0.57,3.02,0.51,1.86,0.32,0.62,0.8,0.62,24
anthony smith,6.33,205,76,31,3.06,0.47,4.28,0.44,0.41,0.26,0.51,0.8,0.7,46
colton smith,6.0,155,71,32,1.64,0.41,2.3,0.51,4.09,0.36,0.25,1.4,0.6,10
gilbert smith,5.75,185,75,38,1.09,0.41,2.73,0.35,3.51,0.6,0.0,1.2,0.71,7
leslie smith,5.75,135,66,37,7.56,0.4,8.41,0.51,0.0,0.0,0.62,0.0,0.56,18
devonte smith,5.75,155,76,26,6.88,0.56,3.65,0.59,0.0,0.0,1.0,0.0,0.83,12
cole smith,5.92,135,67,30,1.63,0.33,1.53,0.61,1.5,0.3,0.66,1.0,0.88,8
dmitrii smoliakov,6.17,253,74,37,1.44,0.42,3.81,0.55,0.0,0.0,0.75,0.0,0.75,12
louis smolka,5.75,135,68,28,4.22,0.46,3.47,0.53,1.65,0.34,0.3,2.1,0.73,22
richie smullen,5.75,155,68,28,1.98,0.77,2.26,0.65,8.49,0.66,0.0,0.0,0.6,5
devin smyth,5.83,170,72,24,2.6,0.68,6.73,0.25,4.0,0.26,1.0,0.0,0.9,10
peter sobotta,6.0,170,75,32,2.17,0.39,2.89,0.59,1.76,0.35,0.77,0.6,0.71,24
renato sobral,6.08,205,75,44,2.23,0.45,1.53,0.57,2.48,0.42,0.65,2.6,0.8,45
rameau thierry sokoudjou,5.83,205,78,35,2.26,0.45,2.61,0.56,1.93,0.47,0.78,0.9,0.55,22
joseph solecki,5.75,155,71,26,3.41,0.65,0.52,0.71,3.93,1.0,0.0,3.9,0.78,9
kenan song,6.0,170,71,29,4.13,0.45,4.28,0.56,0.0,0.0,0.5,0.0,0.75,20
chael sonnen,6.08,205,74,42,3.08,0.43,1.1,0.62,3.81,0.59,0.66,0.4,0.66,44
jinsoo son,5.5,135,69,26,5.1,0.36,7.63,0.52,1.5,0.25,1.0,0.0,0.69,13
sean soriano,5.75,145,70,30,3.15,0.61,2.31,0.52,1.27,0.42,0.55,0.0,0.73,11
