result,Height:,Weight:,Reach:,Age,SLpM:,Str. Acc.:,SApM:,Str. Def:,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,Win Percentage,Total Fights
0,0.08999999999999986,10,-1,2,-0.7399999999999998,0.07,-0.3999999999999999,0.18,-4.83,0.04999999999999999,0.30000000000000004,-1.3,-0.030000000000000027,-5
0,0.08999999999999986,0,-1,-1,1.0799999999999996,0.020000000000000018,0.25,0.11000000000000004,2.1300000000000003,-0.10000000000000003,-0.31999999999999995,-1.2,-0.050000000000000044,-22
1,0.0,0,1,8,-0.7799999999999998,-0.29,1.39,-0.16999999999999993,-1.2,-0.72,-0.09999999999999998,0.8,-0.07999999999999996,17
1,-0.5,0,-4,-1,0.5800000000000001,-0.07,-2.36,0.18999999999999995,-0.35,-0.31999999999999995,0.3500000000000001,-0.10000000000000009,0.13,-12
0,0.33999999999999986,0,3,-1,-2.5999999999999996,-0.09000000000000002,-1.4000000000000004,0.07999999999999996,-1.04,-0.029999999999999916,-0.3,0.4,-0.050000000000000044,-14
1,-0.25,0,0,-9,0.6800000000000002,-0.10999999999999999,0.8399999999999999,0.050000000000000044,-0.34,-0.44,-0.17999999999999994,-0.8,-0.010000000000000009,-27
0,0.08000000000000007,0,-1,2,-2.66,-0.14999999999999997,0.6499999999999999,0.030000000000000027,-2.11,0.27,0.20000000000000007,-0.3,-0.09999999999999998,12
0,-0.33000000000000007,0,-1,10,-1.31,0.09999999999999998,-0.8600000000000003,0.030000000000000027,0.20999999999999996,-0.4,-0.040000000000000036,0.3,-0.22999999999999998,32
1,0.33000000000000007,0,4,-5,1.7300000000000004,-0.04999999999999999,1.7299999999999995,0.020000000000000018,-0.08000000000000002,0.3,0.09000000000000008,0.1,0.0,0
0,-0.25,0,-4,15,-0.8699999999999997,-0.08999999999999997,-0.27,0.07999999999999996,0.07000000000000006,0.10999999999999999,0.020000000000000018,-1.5999999999999999,-0.050000000000000044,10
1,-0.16999999999999993,0,0,-9,-1.5499999999999998,0.030000000000000027,-0.9000000000000004,0.10999999999999993,0.25,0.0,0.23000000000000004,0.8,0.040000000000000036,-8
1,-0.08000000000000007,0,0,-9,0.7800000000000002,0.040000000000000036,0.31999999999999984,-0.10999999999999999,-0.15999999999999992,0.03999999999999998,0.050000000000000044,0.30000000000000004,0.1499999999999999,-4
0,0.16999999999999993,0,0,3,0.3099999999999996,0.14999999999999997,0.7400000000000002,-0.08999999999999997,-2.13,0.18000000000000005,0.050000000000000044,-0.19999999999999996,-0.18999999999999995,-19
